Tev,COP,CR,Tco-Tev
-155,2.667429860387534,69.0,40
-150,2.7761292292709996,49.833333333333336,40
-145,2.8837918651300463,36.825242718446596,40
-140,2.991132877931236,28.27027027027027,40
-135,3.0970099832784213,22.367088607594933,40
-130,3.202354325733773,18.073217726396916,40
-125,3.3060027421390497,14.912302070645554,40
-120,3.408249302113598,12.542629482071712,40
-110,3.6066702858804907,9.2876254180602,40
-100,3.7964921641048015,7.24225621414914,40
-90,3.9736255033748793,5.883049040511728,40
-80,4.132702723353652,4.938949240836033,40
-78,4.162267421573369,4.7850386434421495,40
-76,4.19120566531914,4.6409341380215166,40
-74,4.219218363422968,4.505622278577922,40
-72,4.245438606654382,4.378196441841151,40
-70,4.2709651523181495,4.25839234985796,40
-68,4.294569950591498,4.145294441386901,40
-66,4.3172881490614206,4.038694890117298,40
-64,4.3376601417537595,3.93820956635027,40
-62,4.360303932641966,3.8430744595676547,40
-60,4.376747777453154,3.7529371386329435,40
-56,4.409501911575313,3.5870474639893266,40
-54,4.421489869218325,3.510497724269564,40
-52,4.431309476688767,3.4376948254364086,40
-50,4.440274019591868,3.3684286827464978,40
-48,4.445741629552754,3.3027832632875933,40
-46,4.451210479924077,3.2402524831179464,40
-44,4.451757952071996,3.180762559896523,40
-42,4.450253434919816,3.12408959736155,40
-40,4.443397828873206,3.0699475200658575,40
-30,4.351401275821196,2.8349149675843277,40
-20,4.089108267844376,2.6489623637003166,40
-10,3.346754366293391,2.5043576500968365,40
-175,1.9487044606763644,519.0,45
-170,2.0454183212308075,410.5,45
-165,2.1417495873828845,251.0,45
-160,2.237392103446256,143.3076923076923,45
-155,2.3326260008788027,99.66666666666667,45
-150,2.4268303883227644,70.24074074074073,45
-145,2.520458430637394,50.776699029126206,45
-140,2.6128505723521838,38.2054054054054,45
-135,2.7048667165778957,29.683544303797465,45
-130,2.7953067608083364,23.589595375722542,45
-125,2.884793747711006,19.17295980511571,45
-115,3.05783577378981,13.415458937198068,45
-105,3.223396315609686,9.9860268916425,45
-95,3.377742401576434,7.807441992076968,45
